Payroll Relationship Number|Person Number|Person Name|Payroll Name|Tax Reporting Unit Name|State|Balance Dimension|Run Type|Process Type|Process Date|FICA Taxable Wages for FLI|Family Leave Insurance Employee Gross|Family Leave Insurance Employee Reduced Subject Withholdable|Family Leave Insurance Employee Taxable|Family Leave Insurance Employee Withheld|Family Leave Insurance Employer Gross|Family Leave Insurance Employer Liability|Family Leave Insurance Employer Reduced Subject Withholdable|Family Leave Insurance Employer Taxable|Hours Worked Over Statutory Limit|Long Term Care Employee Gross|Long Term Care Employee Reduced Subject Withholdable|Long Term Care Employee Taxable|Long Term Care Employee Withheld|Medical Leave Insurance Employee Gross|Medical Leave Insurance Employee Reduced Subject Withholdable|Medical Leave Insurance Employee Taxable|Medical Leave Insurance Employee Withheld|Medical Leave Insurance Employer Gross|Medical Leave Insurance Employer Liability|Medical Leave Insurance Employer Reduced Subject Withholdable|Medical Leave Insurance Employer Taxable|Metro Employee Gross|Metro Employee Reduced Subject Withholdable|Metro Employee Withheld|Parental Leave Insurance Employee Gross|Parental Leave Insurance Employee Reduced Subject Withholdable|Parental Leave Insurance Employee Taxable|Parental Leave Insurance Employee Withheld|Parental Leave Insurance Employer Gross|Parental Leave Insurance Employer Liability|Parental Leave Insurance Employer Reduced Subject Withholdable|Parental Leave Insurance Employer Taxable|SDI Employee 401k Reductions|SDI Employee 403b Reductions|SDI Employee 457 Reductions|SDI Employee Dependent Care Reductions|SDI Employee Excess|SDI Employee Gross|SDI Employee Other Pretax Reductions|SDI Employee Pretax Reductions|SDI Employee Reduced Subject Withholdable|SDI Employee Section 125 Reductions|SDI Employee Subject Withholdable|SDI Employee Taxable|SDI Employee Withheld|SDI Employer 401k Reductions|SDI Employer 403b Reductions|SDI Employer 457 Reductions|SDI Employer Dependent Care Reductions|SDI Employer Excess|SDI Employer Gross|SDI Employer Liability|SDI Employer Other Pretax Reductions|SDI Employer Pretax Reductions|SDI Employer Reduced Subject Withholdable|SDI Employer Section 125 Reductions|SDI Employer Subject Withholdable|SDI Employer Taxable|SIT 401k Reductions|SIT 403b Reductions|SIT 457 Reductions|SIT Dependent Care Reductions|SIT Exempt|SIT Gross|SIT Other Pretax Reductions|SIT Pretax Reductions|SIT Reduced Subject Withholdable|SIT Section 125 Reductions|SIT Subject Not Withholdable|SIT Subject Withholdable|SIT Withheld|SUI Eligible Hours|SUI Employee 401k Reductions|SUI Employee 403b Reductions|SUI Employee 457 Reductions|SUI Employee Dependent Care Reductions|SUI Employee Excess|SUI Employee Gross|SUI Employee Other Pretax Reductions|SUI Employee Pretax Reductions|SUI Employee Reduced Subject Withholdable|SUI Employee Section 125 Reductions|SUI Employee Subject Withholdable|SUI Employee Taxable|SUI Employee Withheld|SUI Employer 401k Reductions|SUI Employer 403b Reductions|SUI Employer 457 Reductions|SUI Employer Dependent Care Reductions|SUI Employer Excess|SUI Employer Gross|SUI Employer Liability|SUI Employer Other Pretax Reductions|SUI Employer Pretax Reductions|SUI Employer Reduced Subject Withholdable|SUI Employer Section 125 Reductions|SUI Employer Subject Withholdable|SUI Employer Taxable|State Miscellaneous Employee Gross|State Miscellaneous Employee Reduced Subject Withholdable|State Miscellaneous Employee Subject Not Withholdable|State Miscellaneous Employee Subject Withholdable|State Miscellaneous Employee Taxable|State Miscellaneous Employee Withheld|State Miscellaneous Employer Gross|State Miscellaneous Employer Liability|State Miscellaneous Employer Reduced Subject Withholdable|State Miscellaneous Employer Subject Not Withholdable|State Miscellaneous Employer Subject Withholdable|State Miscellaneous Employer Taxable|State Transit Tax Gross|State Transit Tax Reduced Subject Withholdable|State Transit Tax Subject Not Withholdable|State Transit Tax Subject Withholdable|State Transit Tax Withheld|State Worked Hours|VPDI Employee 401k Reductions|VPDI Employee 403b Reductions|VPDI Employee 457 Reductions|VPDI Employee Dependent Care Reductions|VPDI Employee Excess|VPDI Employee Gross|VPDI Employee Other Pretax Reductions|VPDI Employee Pretax Reductions|VPDI Employee Reduced Subject Withholdable|VPDI Employee Section 125 Reductions|VPDI Employee Subject Withholdable|VPDI Employee Taxable|VPDI Employee Withheld|VPDI Employer 401k Reductions|VPDI Employer 403b Reductions|VPDI Employer 457 Reductions|VPDI Employer Dependent Care Reductions|VPDI Employer Excess|VPDI Employer Gross|VPDI Employer Liability|VPDI Employer Other Pretax Reductions|VPDI Employer Pretax Reductions|VPDI Employer Reduced Subject Withholdable|VPDI Employer Section 125 Reductions|VPDI Employer Subject Withholdable|VPDI Employer Taxable|Wages Earned for Hours Worked in Excess of Statutory Limit|
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|01/12/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|242.98|0|0|0|0|3051.37|0|342.06|2708.39|99.08|.92|3050.45|126|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3051.37|44.89|0|99.08|2951.37|99.08|3050.45|2951.37|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|01/26/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|204.62|0|0|0|0|2571.8|0|303.7|2267.18|99.08|.92|2570.88|101|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2571.8|37.6|0|99.08|2471.8|99.08|2570.88|2471.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|02/09/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|204.62|0|0|0|0|2571.8|0|303.7|2267.18|99.08|.92|2570.88|101|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2571.8|37.59|0|99.08|2471.8|99.08|2570.88|2471.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|02/23/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|102.31|0|0|0|0|2571.8|0|201.39|2369.49|99.08|.92|2570.88|107|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2571.8|37.6|0|99.08|2471.8|99.08|2570.88|2471.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|03/08/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|102.31|0|0|0|0|2571.8|0|201.39|2369.49|99.08|.92|2570.88|107|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2571.8|37.59|0|99.08|2471.8|99.08|2570.88|2471.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Process Separately|Payroll calculation|03/15/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|154.24|0|0|0|0|3856|0|154.24|3701.76|0|0|3856|215|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3856|58.65|0|0|3856|0|3856|3856|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|03/22/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|102.31|0|0|0|0|2571.8|0|201.39|2369.49|99.08|.92|2570.88|107|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2571.8|37.6|0|99.08|2471.8|99.08|2570.88|2471.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|04/05/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|102.31|0|0|0|0|2571.8|0|201.39|2369.49|99.08|.92|2570.88|107|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2571.8|37.6|0|99.08|2471.8|99.08|2570.88|2471.8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Regular Normal|Payroll calculation|04/19/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|105.54|0|0|0|0|2652.56|0|204.62|2447.02|99.08|.92|2651.64|111|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2652.56|38.82|0|99.08|2552.56|99.08|2651.64|2552.56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
"0000001-1|0000001|Doe, John|FT Biweekly|Company1|ID|Run|Process Separately|Payroll calculation|04/19/1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|154.95|0|0|154.95|0|0|154.95|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|154.95|2.36|0|0|154.95|0|154.95|154.95|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|"
